order,q,a
1,VAT คืออะไร? ยอดขายเท่าไหร่ถึงต้องจด VAT ?,"บุคคลธรรมดา หรือ นิติบุคคลต้องจด VAT เมื่อมีรายได้จากการขายสินค้าหรือบริการเกิน 1.8 ล้านบาท/ปี

● VAT ที่ต้องจ่าย = 7% ของยอดขาย
● ตัวอย่าง: ขายของได้ 100 บาท ต้องเสีย VAT = 100 × 7% = 7 บาท

⚠️ ไม่ว่าจะขายของในนามบุคคลธรรมดาหรือนิติบุคคล ถ้ายอดขายถึง 1.8 ล้านบาท ต้องทำการจด VAT ที่สำนักงานสรรพากร (ภ.พ. 01) และยื่น VAT ทุกเดือน มิเช่นนั้นจะมีค่าปรับ!"
2,หลังจากจด VAT แล้ว ในทุก ๆ เดือนต้องทำอะไรบ้าง ?,"1. ออกใบกำกับภาษี ให้ลูกค้า
2. เก็บใบกำกับภาษีซื้อ เพื่อนำ VAT จากค่าใช้จ่ายมาหักออก
3. คำนวณภาษีขาย / ภาษีซื้อ
4. ยื่นแบบภาษี VAT (ภ.พ. 30) ทุกเดือน ภายในวันที่ 15 ของเดือนถัดไป (วันที่ 23 กรณียื่นผ่านระบบออนไลน์)"
3,ถ้ายอดขายถึง 1.8 ล้านบาท ต้องจด VAT เมื่อไหร่ ?,กฎหมายกำหนดว่า ต้องจด VAT ภายใน 30 วันหลังจากวันที่ยอดขายต่อปีถึง 1.8 ล้านบาท 
4,ถ้าปีที่แล้วยอดขายไม่ถึง 1.8 ล้านบาท ปีนี้เริ่มนับใหม่หรือบวกเพิ่มจากค่าปีที่แล้ว ?,"ถ้าปีที่แล้วยอดขายไม่ถึง 1.8 ล้านบาท ปีนี้เริ่มนับใหม่ ไม่ต้องบวกเพิ่มกับยอดขายของปีที่แล้ว

● การคำนวณยอดขายเพื่อจด VAT จะรีเซ็ตทุกปี (ม.ค. - ธ.ค.)
● ถ้ายอดขายสะสม ปีนี้ ถึง 1.8 ล้านบาทจะต้องจด VAT ภายใน 30 วัน

⚠️ นับเฉพาะยอดขายของปีปัจจุบันเท่านั้น!"
5,ถ้ายอดปีที่แล้วถึง 1.8 ล้านบาท และทำการจด VAT แล้ว ถ้ายอดขายปีปัจจุบันไม่ถึง 1.8 ล้านบาท ต้องทำการจ่าย VAT หรือไม่ ?,"ถ้าปีที่แล้วยอดขายถึง 1.8 ล้านบาทจะยังคงต้อง ยื่น VAT ทุกเดือน

● ถ้าปีที่แล้วจด VAT แล้ว → ปีนี้ ต้องยื่นต่อเนื่อง แม้ว่ายอดขายจะลดลง
● จด VAT แล้ว ไม่สามารถยกเลิกเองได้ ต้องเข้าหลักเกณฑ์การขอออกจากระบบ VAT เท่านั้น

⚠️ สรุป: ถ้าปีที่แล้วถึง 1.8 ล้านบาทและจด VAT ไปแล้ว ปีใหม่ต้องยื่นต่อ ไม่เริ่มนับใหม่ "
7,ยื่นภาษีเงินได้ทุกสิ้นปีอยู่แล้ว ยังจำเป็นต้องจด VAT หรือไม่ ?,ภาษีเงินได้ที่จ่ายตอนสิ้นปีและภาษีมูลค่าเพิ่มเป็นภาษีคนละตัวกัน แม้ว่าจะยื่นภาษีทุกสิ้นปีอยู่แล้ว แต่ยังจำเป็นต้องจด VAT ถ้ายอดขายถึง 1.8 ล้านบาท/ปี
8,ถ้ายอดขายถึง 1.8 ล้านบาท ไม่ยื่น VAT จะมีโทษอะไรหรือไม่?,"ถ้าไม่จด VAT ทั้งที่ถึงเกณฑ์ อาจถูกปรับย้อนหลัง

โทษจากการไม่ยื่น VAT มี 3 รายการหลัก:
1. จ่าย VAT ย้อนหลัง ตามยอดขายที่ต้องเสียภาษี
2. เบี้ยปรับ 2 เท่าของภาษีที่ต้องเสีย
3. ดอกเบี้ย 1.5% ต่อเดือน จนกว่าจะชำระ

⚠️ ฉนั้น หากยอดยังไม่ถึงเกณฑ์ต้องจด VAT ควรทำการตรวจเช็คอย่างสม่ำเสมอเพราะหากเรายอด 1.8 ล้านบาทแล้ว แต่ไม่ได้จด VAT จะต้องโดนปรับเพิ่มนะครับ"
9,บุคคลธรรมดากับ นิติบุคคล คำนวณ VAT ต่างกันอย่างไร,ทั้งบุคคลธรรมดาและนิติบุคคลมีหลักการการคำนวณภาษีมูลค่าเพิ่มที่เหมือนกันครับ
10,วิธีการคำนวณ VAT ที่ต้องจ่ายในแต่ละเดือนของคนขายของใน Shopee Lazada และ TikTok คิดอย่างไร?,"VAT ที่ต้องจ่าย = VAT จากรายรับ (ภาษีขาย) − VAT จากรายจ่าย (ภาษีซื้อ)

● การคำนวณ VAT จากรายรับ
VAT จากรายรับ คือ ภาษีคิดจากยอดขาย 

● ตามข้อตกลงของแต่ละ E-commerce platform
ยอดขาย จาก Shopee และ TikTok:  = (ราคาสินค้า - ส่วนลดจากร้านค้า) + ค่าขนส่งที่ลูกค้าจ่าย
ยอดขาย จาก Lazada = (ราคาสินค้า - ส่วนลดจากร้านค้า)  → ค่าขนส่งที่ลูกค้าจ่ายไม่รวมในรายรับของผู้ขาย

● การคำนวณ VAT จากรายจ่าย
VAT จากรายจ่าย คือ ภาษีที่ผู้ขายจ่ายให้ซัพพลายเออร์ เราสามารถนำมาหักลบออกจาก VAT จากรายรับได้

VAT จากรายจ่าย = ∑ (VAT จากค่าใช้จ่ายที่มีใบกำกับภาษี)

💡 ค่าใช้จ่ายที่สามารถใช้หัก VAT ได้
● ค่าธรรมเนียม Shopee, Lazada, TikTok (VAT รวมอยู่ในค่าธรรมเนียมแล้ว โดยใบเสร็จค่าธรรมเนียมต้องออกเป็นชื่อเดียวกับผู้ที่ยื่นจ่ายภาษีมูลค่าเพิ่ม)
● ค่าโฆษณา (Shopee Ads, Lazada Ads)
● ค่าสินค้า (เฉพาะที่มีใบกำกับภาษีเต็มรูปแบบ)
● ค่าแพ็กเกจจิ้ง (กล่อง, ซองไปรษณีย์)

● คำนวณ VAT ที่ต้องจ่าย
VAT ที่ต้องจ่าย = VAT จากรายรับ − VAT จากรายจ่าย

📌 ถ้า VAT จากรายรับ > VAT จากรายจ่าย → ต้องจ่ายส่วนต่างให้กรมสรรพากร
📌 ถ้า VAT จากรายจ่าย < VAT จากรายรับ → สามารถ ขอคืน VAT ได้ หรือ นำไปหักในรอบถัดไป"
11,ทำไมค่าขนส่งถึงคิดเป็นรายได้ของผู้ขาย ใน Shopee และ TikTok ?,ตามข้อกำหนดของ Shopee และ TikTok ค่าขนส่งที่ผู้ซื้อจ่ายจะถือเป็นรายได้ของผู้ขาย ส่วนค่าขนส่งที่ผู้ซื้อจ่าย ส่วนของ Lazada จะไม่ถือเป็นรายได้ของผู้ขาย
