order,q,a
1,VAT คืออะไร? ยอดขายเท่าไหร่ถึงต้องจด VAT?,"👤 บุคคลธรรมดา หรือ 🏢 นิติบุคคล
👉 ต้องจด VAT เมื่อรายได้เกิน 1.8 ล้านบาท/ปี 💵

💡 VAT ที่ต้องจ่าย = 7% ของยอดขาย
✅ ตัวอย่าง: ขายของได้ 100 บาท ต้องเสีย VAT = 100 × 7% = 7 บาท 💰📑

⚠️ อย่าลืมยื่นภาษีทุกเดือน เพื่อเลี่ยงค่าปรับ! 🚀"
2,ถ้าขายของในนามบุคคลธรรมดา ไม่ได้ขายในนามนิติบุคคล จะต้องยื่น VAT หรือไม่ ?,"📌 ไม่ว่าจะขายของในนามบุคคลธรรมดาหรือนิติบุคคล
👉 ถ้ายอดขายถึง 1.8 ล้านบาท
✅ ต้องจด VAT และยื่น VAT ทุกเดือน 📅💼"
3,หลังจากจด VAT แล้วในทุก ๆ เดือนต้องทำอะไรบ้าง?,"✅ จดทะเบียนภาษีมูลค่าเพิ่ม (ภ.พ. 01) ที่สำนักงานสรรพากร
✅ ออกใบกำกับภาษี ให้ลูกค้า
✅ ยื่นแบบภาษี VAT (ภ.พ. 30) ทุกเดือน ภายในวันที่ 15 ของเดือนถัดไป
✅ เก็บใบกำกับภาษีซื้อ เพื่อนำ VAT จากค่าใช้จ่ายมาหักออก"
4,ถ้ายอดขายถึง 1.8 ล้านบาท ต้องจด VAT เมื่อไหร่,"📌 กฎหมายกำหนดว่า:
ถ้ายอดขายรวมตั้งแต่ต้นปีถึง 1,800,000 บาทเมื่อใด → ต้องจด VAT ภายใน 30 วัน"
5,ถ้าปีที่แล้วยอดขายไม่ถึง 1.8 ล้านบาท ปีนี้เริ่มนับใหม่หรือบวกเพิ่มจากค่าปีที่แล้ว ?,"📌 ถ้าปีที่แล้วยอดขายไม่ถึง 1.8 ล้านบาท
✅ ปีนี้เริ่มนับใหม่! ไม่ต้องบวกกับยอดขายของปีที่แล้ว ⏳💰

🔹 การคำนวณยอดขายเพื่อจด VAT จะรีเซ็ตทุกปี (ม.ค. - ธ.ค.)
🔹 ถ้ายอดขายสะสม ปีนี้ ถึง 1.8 ล้านบาทเมื่อไหร่ 👉 ต้องจด VAT ภายใน 30 วัน 🏷️

⚠️ นับเฉพาะยอดขายของปีปัจจุบันเท่านั้น! 🚀"
6,ถ้ายอดปีที่แล้วถึง 1.8 ล้านบาท พอเริ่มปีใหม่จะเริ่มนับใหม่ด้วยหรือไม่ ?,"📌 ถ้าปีที่แล้วยอดขายถึง 1.8 ล้านบาท
👉 จะยังคงต้อง ยื่น VAT ทุกเดือน 📅💰

🔹 ถ้าปีที่แล้วจด VAT แล้ว → ปีนี้ ต้องยื่นต่อเนื่อง แม้ว่ายอดขายจะลดลง
🔹 จด VAT แล้ว ไม่สามารถยกเลิกเองได้ ❌ ต้องเข้าหลักเกณฑ์การ ขอออกจากระบบ VAT เท่านั้น

⚠️ สรุป: ถ้าปีที่แล้วถึง 1.8 ล้านบาทและจด VAT ไปแล้ว ปีใหม่ต้องยื่นต่อ ไม่เริ่มนับใหม่ 🚀"
7,ยื่นภาษีทุกสิ้นปีอยู่แล้ว ยังจำเป็นต้องจด VAT หรือไม่ ?,"✅ แม้ว่าจะยื่นภาษีทุกสิ้นปีอยู่แล้ว แต่ยังจำเป็นต้องจด VAT ถ้ายอดขายถึง 1.8 ล้านบาท/ปี 🏷️
👉 เพราะภาษีสองตัวนี้เป็นภาษีคนละตัวกัน
🔹 ภาษีสิ้นปี (ภ.ง.ด.) เป็นภาษีเงินได้ → คิดจาก ""กำไรสุทธิ""
🔹 VAT (ภ.พ. 30) เป็นภาษีมูลค่าเพิ่ม → คิดจาก ""ยอดขายทั้งหมด""

⚠️ สรุป:
การยื่นภาษีสิ้นปี ≠ การจด VAT ❌
ถ้ายอดขายเกิน 1.8 ล้านบาท → ต้องจด VAT และยื่นภ.พ. 30 ทุกเดือน 🚀"
8,📌 ถ้าไม่ยื่น VAT จะมีโทษอะไรหรือไม่?,"⚠️ ถ้าไม่จด VAT ทั้งที่ถึงเกณฑ์ อาจถูกปรับย้อนหลัง
📌 โทษจากการไม่ยื่น VAT มี 3 รายการหลัก:

1. จ่าย VAT ย้อนหลัง ตามยอดขายที่ต้องเสียภาษี
2. เบี้ยปรับ 2 เท่าของภาษีที่ต้องเสีย
3. ดอกเบี้ย 1.5% ต่อเดือน จนกว่าจะชำระ

ฉนั้น หากยอดยังไม่ถึงเกณฑ์ต้องจด VAT ควรทำการตรวจเช็คอย่างสม่ำเสมอเพราะหากเรายอด 1.8 ล้านบาทแล้ว แต่ไม่ได้จด VAT จะต้องโดนปรับเพิ่มนะครับ"
9,บุคคลธรรมดากับ นิติบุคคล คำนวณ VAT ต่างกันอย่างไร,✅ ทั้งบุคคลธรรมดาและนิติบุคคลมีหลักการการคำนวณภาษีมูลค่าเพิ่มที่เหมือนกันครับ
10,วิธีการคำนวณ VAT ที่ต้องจ่ายในแต่ละเดือนของคนขายของใน Shopee/Lazada/TikTok คิดอย่างไร?,"VAT ที่ต้องจ่ายสามารถคำนวณได้จาก:

VAT ที่ต้องจ่าย = VAT จากรายรับ − VAT จากรายจ่าย

✅ 1️⃣ การคำนวณ VAT จากรายรับ
VAT จากรายรับ คือ ภาษีที่ผู้ขาย เก็บจากลูกค้า แล้วต้องนำส่งให้กรมสรรพากร
 
💡 หมายเหตุ

Shopee/TikTok: ยอดขาย = (ราคาสินค้า - ส่วนลดจากร้านค้า) + ค่าขนส่งที่ลูกค้าจ่าย
Lazada: ยอดขาย = (ราคาสินค้า - ส่วนลดจากร้านค้า) (ค่าขนส่งที่ลูกค้าจ่ายไม่รวมในรายรับของผู้ขาย)

✅ 2️⃣ การคำนวณ VAT จากรายจ่าย
VAT จากรายจ่าย คือ ภาษีที่ผู้ขายจ่ายให้ซัพพลายเออร์ แล้วสามารถนำมาหักลบได้

VAT จากรายจ่าย = ∑ (VAT จากค่าใช้จ่ายที่มีใบกำกับภาษี)

💡 ค่าใช้จ่ายที่สามารถใช้หัก VAT ได้
ค่าธรรมเนียม Shopee, Lazada, TikTok (VAT รวมอยู่ในค่าธรรมเนียมแล้ว)
ค่าโฆษณา (Shopee Ads, Lazada Ads)
ค่าสินค้า (เฉพาะที่มีใบกำกับภาษีเต็มรูปแบบ)
ค่าแพ็กเกจจิ้ง (กล่อง, ซองไปรษณีย์)
ค่าขนส่ง (ที่มีใบกำกับภาษี)

✅ 3️⃣ คำนวณ VAT ที่ต้องจ่าย
VAT ที่ต้องจ่าย = VAT จากรายรับ − VAT จากรายจ่าย

📌 กรณี 1: ถ้า VAT จากรายรับ > VAT จากรายจ่าย
👉 ต้องจ่ายส่วนต่างให้กรมสรรพากร

📌 กรณี 2: ถ้า VAT จากรายจ่าย > VAT จากรายรับ
👉 สามารถ ขอคืน VAT ได้ หรือ นำไปหักในรอบถัดไป"
